agency,link
February 2024 Economic and Tax Revenue Forecast ,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/February-2024-Council-Economic-and-Tax-Forecast-Report.pdf
FY25 Financial Plan Overview,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/FY25-Financial-Plan-Overview-2.pdf
Financial Plan Overview Dashboard,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/FINAL-Dashboard-Expense.pdf
Preliminary Capital Budget Report Dashboard,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/FINAL-Dashboard-Capital-Preview-FY25-Prelim-2.21.24.pdf
Administration for Children’s Services,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/068-ACS.pdf
Board of Correction,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/073-BOC.pdf
Board of Elections,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/003-BOE.pdf
City Commission on Human Rights,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/226-CCHR-1.pdf
City University of New York,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/CUNY-1.pdf
Civilian Complaint Review Board,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/054-CCRB.pdf
Department for the Aging,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/125-DFTA.pdf
Department of Buildings,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/810-DOB.pdf
Department of City Planning,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/030-DCP.pdf
Department of Citywide Administrative Services,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/856-DCAS.pdf
Department of Correction,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/072-DOC.pdf
Department of Consumer and Worker Protection,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/866-DCWP.pdf
Department of Cultural Affairs,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/126-DCLA.pdf
Department of Design and Construction,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/850-DDC.pdf
Department of Education,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/040-DOE.pdf
Department of Environmental Protection,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/826-DEP.pdf
Department of Finance,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/836-DOF.pdf
Department of Health and Mental Hygiene,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/03/816-DOHMH-1.pdf
