recipient_zip_code,awarding_agency_name,total_outlayed_amount_for_overall_award
10459,Department of Health and Human Services,378433987.51
10455,Department of Housing and Urban Development,90901619.53
10459,Department of Housing and Urban Development,66027471.32
10454,Department of Health and Human Services,46572676.48
10456,Department of Housing and Urban Development,33762016.79
10454,Department of Housing and Urban Development,31574390.82
10451,Department of Housing and Urban Development,28447254.15
10456,Department of Health and Human Services,24829213.87
10455,Department of Health and Human Services,12290237.16
10451,Department of Health and Human Services,9949035.44
10474,Department of Housing and Urban Development,3190195.0
10455,Department of Education,2322459.7
10455,Department of Justice,1679186.4700000002
10451,Social Security Administration,804620.7
10451,Department of Education,703246.94
10454,Department of Labor,350000.0
10455,Department of Labor,314272.63
10451,Department of Commerce,200000.0
10454,Federal Communications Commission,188089.41
10456,Federal Communications Commission,163055.48
10451,Department of the Treasury,138706.16999999998
10455,Federal Communications Commission,136200.0
10451,Federal Communications Commission,118716.35
10454,National Endowment for the Arts,35000.0
10451,Small Business Administration,27051.96
10454,Department of Justice,20000.0
10455,National Endowment for the Arts,20000.0
10456,Small Business Administration,14999.99
10459,Small Business Administration,14999.66
10474,Federal Communications Commission,14774.4
10451,National Endowment for the Arts,14475.0
10474,Small Business Administration,14000.0
10454,Small Business Administration,5432.21
10459,Federal Communications Commission,3826.67
10455,Small Business Administration,0.0
10456,National Endowment for the Arts,0.0
10454,Department of Education,0.0
10451,National Science Foundation,0.0
10451,National Endowment for the Humanities,0.0
10451,Institute of Museum and Library Services,0.0
10451,Environmental Protection Agency,0.0
10474,Department of Justice,0.0
10451,Department of Justice,0.0
10455,Department of Defense,0.0
